time,open,high,low,close,volume,oi,funding
1774468200000.0,91.69,91.77,91.61,91.64,26649.96,8882908.13,-0.00019447
1774468500000.0,91.64,91.73,91.35,91.72,104346.6,8882908.13,-0.00019447
1774468800000.0,91.72,91.74,91.53,91.54,28541.77,8882908.13,-0.00019447
1774469100000.0,91.54,91.59,91.28,91.29,71699.69,8882908.13,-0.00019447
1774469400000.0,91.29,91.31,91.12,91.14,91484.91,8882908.13,-0.00019447
1774469700000.0,91.14,91.33,91.11,91.33,64030.06,8882908.13,-0.00019447
1774470000000.0,91.32,91.35,91.19,91.22,30935.45,8882908.13,-0.00019447
1774470300000.0,91.23,91.24,91.1,91.18,44651.56,8882908.13,-0.00019447
1774470600000.0,91.18,91.23,91.05,91.18,41687.33,8882908.13,-0.00019447
1774470900000.0,91.17,91.31,91.14,91.28,30247.97,8882908.13,-0.00019447
1774471200000.0,91.28,91.47,91.21,91.45,49134.48,8882908.13,-0.00019447
1774471500000.0,91.44,91.48,91.32,91.41,51717.45,8882908.13,-0.00019447
1774471800000.0,91.42,91.54,91.41,91.53,38990.58,8882908.13,-0.00019447
1774472100000.0,91.52,91.55,91.41,91.45,43624.28,8882908.13,-0.00019447
1774472400000.0,91.45,91.47,91.31,91.37,25860.01,8882908.13,-0.00019447
1774472700000.0,91.38,91.45,91.24,91.44,21754.47,8882908.13,-0.00019447
1774473000000.0,91.44,91.56,91.4,91.55,33202.82,8882908.13,-0.00019447
1774473300000.0,91.54,91.59,91.43,91.52,38619.44,8882908.13,-0.00019447
1774473600000.0,91.52,91.53,91.36,91.37,19331.51,8882908.13,-0.00019447
1774473900000.0,91.37,91.39,91.2,91.22,41190.6,8882908.13,-0.00019447
1774474200000.0,91.21,91.3,91.12,91.26,36897.33,8882908.13,-0.00019447
1774474500000.0,91.27,91.36,91.21,91.35,50777.15,8882908.13,-0.00019447
1774474800000.0,91.36,91.42,91.28,91.33,15652.27,8882908.13,-0.00019447
1774475100000.0,91.32,91.37,91.11,91.14,23861.26,8882908.13,-0.00019447
1774475400000.0,91.13,91.21,91.12,91.2,15435.53,8882908.13,-0.00019447
1774475700000.0,91.2,91.27,91.17,91.22,22521.83,8882908.13,-0.00019447
1774476000000.0,91.22,91.33,91.14,91.25,49854.23,8882908.13,-0.00019447
1774476300000.0,91.25,91.26,91.03,91.04,61259.28,8882908.13,-0.00019447
1774476600000.0,91.03,91.13,91.01,91.08,39930.59,8882908.13,-0.00019447
1774476900000.0,91.08,91.13,90.98,91.07,69863.24,8882908.13,-0.00019447
1774477200000.0,91.08,91.17,91.02,91.14,41281.36,8882908.13,-0.00019447
1774477500000.0,91.15,91.27,91.14,91.23,37687.87,8882908.13,-0.00019447
1774477800000.0,91.22,91.69,91.21,91.65,134525.99,8882908.13,-0.00019447
1774478100000.0,91.65,91.75,91.52,91.52,88469.78,8882908.13,-0.00019447
1774478400000.0,91.52,91.89,91.51,91.7,132535.18,8882908.13,-0.00019447
1774478700000.0,91.7,91.9,91.67,91.72,90918.11,8882908.13,-0.00019447
1774479000000.0,91.73,91.76,91.61,91.74,64349.04,8882908.13,-0.00019447
1774479300000.0,91.75,91.79,91.65,91.69,33938.41,8882908.13,-0.00019447
1774479600000.0,91.69,91.77,91.64,91.77,34313.87,8882908.13,-0.00019447
1774479900000.0,91.77,91.8,91.68,91.74,20265.09,8882908.13,-0.00019447
1774480200000.0,91.74,91.79,91.6,91.6,17361.55,8882908.13,-0.00019447
1774480500000.0,91.61,91.61,91.47,91.59,47617.97,8882908.13,-0.00019447
1774480800000.0,91.59,91.69,91.54,91.66,40257.78,8882908.13,-0.00019447
1774481100000.0,91.67,91.75,91.65,91.68,26084.36,8882908.13,-0.00019447
1774481400000.0,91.67,91.69,91.6,91.64,20725.37,8882908.13,-0.00019447
1774481700000.0,91.64,91.7,91.53,91.54,32869.51,8882908.13,-0.00019447
1774482000000.0,91.54,91.59,91.47,91.5,28607.39,8882908.13,-0.00019447
1774482300000.0,91.51,91.59,91.42,91.54,21315.21,8882908.13,-0.00019447
1774482600000.0,91.55,91.72,91.55,91.71,32498.11,8882908.13,-0.00019447
1774482900000.0,91.71,91.72,91.64,91.65,19484.19,8882908.13,-0.00019447
1774483200000.0,91.65,91.72,91.57,91.57,64319.76,8882908.13,-0.00019447
1774483500000.0,91.57,91.6,91.47,91.48,36203.35,8882908.13,-0.00019447
1774483800000.0,91.47,91.63,91.44,91.63,32353.2,8882908.13,-0.00019447
1774484100000.0,91.63,91.85,91.61,91.62,46436.78,8882908.13,-0.00019447
1774484400000.0,91.62,91.7,91.58,91.61,39442.19,8882908.13,-0.00019447
1774484700000.0,91.61,91.73,91.53,91.72,20478.87,8882908.13,-0.00019447
1774485000000.0,91.72,91.83,91.69,91.76,33326.05,8882908.13,-0.00019447
1774485300000.0,91.76,91.89,91.75,91.84,34043.28,8882908.13,-0.00019447
1774485600000.0,91.84,91.87,91.73,91.81,26373.91,8882908.13,-0.00019447
1774485900000.0,91.82,91.92,91.77,91.85,51810.53,8882908.13,-0.00019447
1774486200000.0,91.84,91.86,91.55,91.59,53236.44,8882908.13,-0.00019447
1774486500000.0,91.59,91.65,91.46,91.64,36728.48,8882908.13,-0.00019447
1774486800000.0,91.64,91.85,91.62,91.78,58762.36,8882908.13,-0.00019447
1774487100000.0,91.77,91.8,91.67,91.72,24584.78,8882908.13,-0.00019447
1774487400000.0,91.71,91.8,91.64,91.73,12942.05,8882908.13,-0.00019447
1774487700000.0,91.73,91.73,91.53,91.66,27309.42,8882908.13,-0.00019447
1774488000000.0,91.66,91.79,91.64,91.77,10807.99,8882908.13,-0.00019447
1774488300000.0,91.77,91.91,91.74,91.81,32941.68,8882908.13,-0.00019447
1774488600000.0,91.82,91.9,91.76,91.85,28080.85,8882908.13,-0.00019447
1774488900000.0,91.86,91.9,91.77,91.82,31439.48,8882908.13,-0.00019447
1774489200000.0,91.83,91.85,91.65,91.68,48680.22,8882908.13,-0.00019447
1774489500000.0,91.68,91.8,91.67,91.72,13849.78,8882908.13,-0.00019447
1774489800000.0,91.72,91.79,91.66,91.75,45904.54,8882908.13,-0.00019447
